disfluent,label,pred_label
"नैजी करके उसका नाम कर दिया
","नैजी नैजी करके उसका नाम कर दिया
",ughhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
"अब हम एक ब्रैक लेते है
","अब हम अ एक ब्रैक लेते है
", now we take a break
"एकदम फ्रेस लग रहा था
","एकदम अ फ्रेस लग रहा था
", I'm very happy
"उसि मौसम में मैं अब समा गया हूँ
","उसि मौसम में मैं अ अब समा गया हूँ
", that weather I am now
"टुटे हुये रिस्ते को द्रुस्त करने का भी मन नही करता है
","टुटे टुटे हुये रिस्ते को द्रुस्त करने का भी मन नही करता है
", टुटे हुये रिस्ते को द्रुस्त करने का भी मन नही करता
"आपको किसी अपने ने धोका दिया है
","आपको किस आप किसी अपने ने धोका दिया है
", You were betrayed by someone.
"मैं आज भी इये बात को समझा नही हूँ
","मैं आज भी अ इये बात को समझा नही हूँ
", I still don't understand this.
"तुम मम्मी और डैडि से पैसे लेके अराम मत करो
","तुम मम्मी और डैडि से पैसे लेके अ अराम मत करो
", I went to the market today.
"आप मिलते है उनसे
","आप अ आप मिलते है उनसे
", you meet him
"प्लैयर हमारे एकदम तगड़ा प्लैयर है
","प्लैयर हमारे एकदम तग तगड़ा प्लैयर है वो
", our very good player
"वे बड़े सशक्त लीडर थे और बड़ी अनुशासन मैं रहे अपनी लाइफ में
","वे बड़े सशक्त लीडर थे और बड़ी डिसिप्लीन अनुशासन मैं रहे अपनी लाइफ में
", वे great leaders were and were very disciplined in their lives.
"एक तरहे के इंसान होते है जो सिर्फ़ अपना कर्म करते रहते है
","एक एक तरहे के इंसान होते है जो सिर्फ़ अपना कर्म करते रहते है
", one way people are people who only do their own thing
"सब छोटे शहरो से मध्यमगर के परिबार से आ रहे हैं
","सब अ छोटे शहरो से अ मध्यमगर के परिबार से आ रहे हैं
", सब छोटे शहरो से मध्यमगर के परिबार से आ रहे हैं
"मैं कप्तान था दो साल गुजरात लायन का
","मैं कप्तान था दो साल उत्तरप्रदेश का इसका गुजरात लायन का
", I was captain for two years in the Gujarat Lions.
"जब फ्लैग दिखता है तो सब काम हो जाते है कि देश के लिये है तो एक इमेज है हमारी
","जब फ्लैग दिखता है तो सब काम हो जाते है कि देश के लिये है तो एक एक इमेज है हमारी
", when flag appears all work is done that country for us an image is our
"आज भी मैं इयुनिफर्म मे किसि बन्दे को देखता हूँ
","आज भी मैं मैं इयुनिफर्म मे किसि बन्दे को देखता हूँ
", today
"इये दिवार है नाना क्या कर रहे है
","इये इये दिवार है नाना क्या कर रहे है
", इये दिवार है नाना क्या कर रहे है
"मुझे लगता है कि इये सफर बहुत अलग है
","मुझे लगता है कि इये स सफर बहुत अलग है
", I'm not sure if this is the right place to ask this question
"एक फील आती है कि क्या क्या करना परेगा
","एक फील आती है कि क्या क्या क्या करना परेगा
", a feeling that what to do
"अभी रात को शीयारो को आवाज़ आने लग जायेगी
","अभी रात को अ शीयारो को आवाज़ आने लग जायेगी
", अभी रात को शीयारो को आवाज़ आने लग जायेगी
"खेलते खेलते फीर लगता है कि मेरे अन्दर ज्यादा टैलेण्ट है
","खेलते खेलते फीर लगता है कि मुझ मेरे अन्दर ज्यादा टैलेण्ट है
", खेलते खेलते फीर लगता है कि मेरे अन्दर ज्यादा टैलेण्ट है
